Team,Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,GP,PER
Houston Rockets,8151035.0,34.0,6.0,19.0,1.35,3.0,11.0,1.0,3.0,4.0,1.5,0.0,3.0,3.0,3.0,2.0,1.0,0.0,5.0,18.0,5.0,2.6
Houston Rockets,1017465.0,205.0,25.0,56.0,2.193,17.0,41.0,1.994,3.0,3.0,1.0,1.0,21.0,22.0,9.0,6.0,2.0,3.0,11.0,70.0,5.0,15.0
Houston Rockets,1005725.0,109.0,28.0,42.0,3.4589999999999996,14.0,23.0,3.119,7.0,8.0,3.5,3.0,13.0,16.0,3.0,1.0,2.0,6.0,7.0,77.0,5.0,15.6
Houston Rockets,8131230.0,19.0,5.0,9.0,1.75,1.0,2.0,1.0,3.0,4.0,0.75,2.0,4.0,6.0,1.0,0.0,0.0,2.0,0.0,14.0,5.0,2.8
Los Angeles Clippers,1007830.0,204.0,46.0,109.0,2.096,13.0,36.0,1.752,34.0,42.0,4.139,8.0,56.0,64.0,78.0,8.0,2.0,18.0,17.0,139.0,5.0,40.4
Los Angeles Clippers,1009675.0,122.0,24.0,48.0,2.19,8.0,19.0,1.583,22.0,27.0,2.523,1.0,31.0,32.0,40.0,4.0,5.0,13.0,6.0,78.0,5.0,23.4
Los Angeles Clippers,1013475.0,160.0,27.0,60.0,2.446,9.0,22.0,1.777,30.0,32.0,4.633,1.0,24.0,25.0,28.0,4.0,1.0,13.0,5.0,93.0,5.0,20.6
Los Angeles Clippers,8147995.0,77.0,7.0,20.0,1.0110000000000001,3.0,9.0,1.4,13.0,15.0,2.69,2.0,6.0,8.0,5.0,1.0,0.0,2.0,12.0,30.0,5.0,5.4
Los Angeles Clippers,8142320.0,145.0,18.0,39.0,2.483,5.0,12.0,2.333,8.0,10.0,4.0,13.0,23.0,36.0,7.0,8.0,3.0,6.0,13.0,49.0,5.0,14.8
Los Angeles Clippers,1011655.0,175.0,36.0,82.0,2.268,14.0,43.0,1.7149999999999999,14.0,17.0,3.133,3.0,35.0,38.0,23.0,2.0,2.0,18.0,13.0,100.0,5.0,19.6
Los Angeles Clippers,8148055.0,58.0,18.0,22.0,2.975,2.0,4.0,1.5,10.0,11.0,2.8,2.0,8.0,10.0,4.0,1.0,0.0,1.0,5.0,48.0,5.0,11.4
Los Angeles Clippers,1003910.0,101.0,3.0,12.0,1.083,2.0,9.0,0.833,3.0,4.0,1.5,2.0,9.0,11.0,7.0,1.0,0.0,1.0,5.0,11.0,5.0,3.8
Los Angeles Clippers,8130905.0,179.0,27.0,59.0,2.2640000000000002,11.0,26.0,2.242,19.0,21.0,3.778,2.0,21.0,23.0,9.0,4.0,1.0,7.0,11.0,84.0,5.0,16.0
Los Angeles Clippers,8139130.0,89.0,15.0,21.0,3.167,1.0,1.0,1.0,4.0,4.0,2.0,10.0,19.0,29.0,6.0,0.0,3.0,3.0,10.0,35.0,5.0,12.8
Los Angeles Clippers,1017430.0,123.0,23.0,32.0,3.528,0.0,0.0,0.0,8.0,12.0,1.75,11.0,46.0,57.0,22.0,1.0,6.0,9.0,15.0,54.0,5.0,23.6
